,,,2021-09-01 through 2022-09-01,,,,New maintainer requests,,,,,,,,,,,,,,,,,,,,,,,,
# Repo,URL,Current Maintainer,PR Count,Issue Count,Cost,Current Maintainer Request,Request 1,Request 2,Request 3,Request 4,per-person,Claimed,Accounted For,wjwwood,ivanpauno,mjeronimo,sloretz,clalancette,tfoote,ahcorde,cottsay,nuclearsandwich,hidmic,gbiggs,adityapande-1995,audrow,scpeters,quarkytale,methylDragon,codebot,External
ros2/rclcpp,https://github.com/ros2/rclcpp.git,ivanpauno; jacobperron; wjwwood,198,137,100,ivanpauno,wjwwood,hidmic,,,33.33333333,100,100,33.33333333,33.33333333,,,,,,,,33.33333333,,,,,,,,
ros2/rclpy,https://github.com/ros2/rclpy.git,sloretz; adityapande-1995; jacobperron,133,93,67,sloretz,,adityapande-1995,,,33.5,67,67,,,,33.5,,,,,,,,33.5,,,,,,
ros2/ros2,https://github.com/ros2/ros2.git,,38,144,54,clalancette,codebot,,,,27,54,54,,,,,27,,,,,,,,,,,,27,
ros2/rviz,https://github.com/ros2/rviz.git,jacobperron; mjeronimo,96,80,53,,ahcorde,,,,53,53,53,,,,,,,53,,,,,,,,,,,
ros2/ros2_documentation,https://github.com/ros2/ros2_documentation.git,,1000,103,50,clalancette,audrow,,,,25,50,50,,,,,25,,,,,,,,25,,,,,
ros2/launch,https://github.com/ros2/launch.git,adityapande-1995; hidmic,93,66,47,,methylDragon,adityapande-1995,wjwwood,,15.66666667,47,47,15.66666667,,,,,,,,,,,15.66666667,,,,15.66666667,,
ros2/ros2cli,https://github.com/ros2/ros2cli.git,adityapande-1995; audrow; mjeronimo,74,53,38,audrow,gbiggs,,,,19,38,38,,,,,,,,,,,19,,19,,,,,
ros2/geometry2,https://github.com/ros2/geometry2.git,clalancette; ahcorde,83,39,36,clalancette,ahcorde,,,,18,36,36,,,,,18,,18,,,,,,,,,,,
ros2/rosidl,https://github.com/ros2/rosidl.git,hidmic; sloretz,78,36,34,sloretz,methylDragon,adityapande-1995,quarkytale,,8.5,34,34,,,,8.5,,,,,,,,8.5,,,8.5,8.5,,
ros2/rmw_cyclonedds,https://github.com/ros2/rmw_cyclonedds.git,ivanpauno; hidmic,67,42,33,ivanpauno,,,,,33,33,33,,33,,,,,,,,,,,,,,,,
ament/ament_lint,https://github.com/ament/ament_lint.git,mjeronimo; methylDragon,61,39,30,mjeronimo,,,,,30,30,30,,,30,,,,,,,,,,,,,,,
ros2/rcl,https://github.com/ros2/rcl.git,ivanpauno; jacobperron; wjwwood,64,36,30,ivanpauno,wjwwood,audrow,,,10,30,30,10,10,,,,,,,,,,,10,,,,,
ros2/rmw_fastrtps,https://github.com/ros2/rmw_fastrtps.git,hidmic; mjeronimo,49,52,30,,gbiggs,sloretz,,,15,30,30,,,,15,,,,,,,15,,,,,,,
ros2/ci,https://github.com/ros2/ci.git,nuclearsandwich; cottsay; clalancette,87,7,28,clalancette,cottsay,nuclearsandwich,,,9.333333333,28,28,,,,,9.333333333,,,9.333333333,9.333333333,,,,,,,,,
osrf/docker_images,https://github.com/osrf/docker_images.git,sloretz,56,32,26,,audrow,,,,26,26,26,,,,,,,,,,,,,26,,,,,
ros2/launch_ros,https://github.com/ros2/launch_ros.git,adityapande-1995; jacobperron; hidmic,50,30,24,,methylDragon,adityapande-1995,,,12,24,24,,,,,,,,,,,,12,,,,12,,
ros2/ros_buildfarm_config,https://github.com/ros2/ros_buildfarm_config.git,nuclearsandwich; cottsay,73,1,22,,cottsay,,,,22,22,22,,,,,,,,22,,,,,,,,,,
ros2/demos,https://github.com/ros2/demos.git,audrow; mjeronimo,57,14,21,mjeronimo,audrow,adityapande-1995,,,7,21,21,,,7,,,,,,,,,7,7,,,,,
ros-perception/image_common,https://github.com/ros-perception/image_common.git,,45,25,21,,methylDragon,quarkytale,,,10.5,21,21,,,,,,,,,,,,,,,10.5,10.5,,
ros2/ros1_bridge,https://github.com/ros2/ros1_bridge.git,gbiggs; quarkytale; methylDragon; sloretz,27,41,20,quarkytale,methylDragon,gbiggs,,,6.666666667,20,20,,,,,,,,,,,6.666666667,,,,6.666666667,6.666666667,,
ament/ament_cmake,https://github.com/ament/ament_cmake.git,mjeronimo; hidmic,44,21,19,mjeronimo,,,,,19,19,19,,,19,,,,,,,,,,,,,,,
ros-infrastructure/rep,https://github.com/ros-infrastructure/rep.git,clalancette,54,5,18,clalancette,audrow,,,,9,18,18,,,,,9,,,,,,,,9,,,,,
ros2/rcutils,https://github.com/ros2/rcutils.git,clalancette; ahcorde,37,21,17,clalancette,ahcorde,wjwwood,,,5.666666667,17,17,5.666666667,,,,5.666666667,,5.666666667,,,,,,,,,,,
ros2/common_interfaces,https://github.com/ros2/common_interfaces.git,gbiggs; tfoote,39,16,16,tfoote,,,,,16,16,16,,,,,,16,,,,,,,,,,,,
ros2/rosidl_python,https://github.com/ros2/rosidl_python.git,sloretz; quarkytale,37,17,16,sloretz,quarkytale,,,,8,16,16,,,,8,,,,,,,,,,,8,,,
ros/robot_state_publisher,https://github.com/ros/robot_state_publisher.git,clalancette; sloretz,15,21,11,clalancette,,,,,11,11,11,,,,,11,,,,,,,,,,,,,
ros2/rmw,https://github.com/ros2/rmw.git,ivanpauno; wjwwood,23,10,10,ivanpauno,methylDragon,wjwwood,,,3.333333333,10,10,3.333333333,3.333333333,,,,,,,,,,,,,,3.333333333,,
ros-visualization/rqt,https://github.com/ros-visualization/rqt.git,quarkytale,6,27,10,quarkytale,,,,,10,10,10,,,,,,,,,,,,,,,10,,,
ros2/examples,https://github.com/ros2/examples.git,sloretz; adityapande-1995,23,8,9,,ahcorde,adityapande-1995,,,4.5,9,9,,,,,,,4.5,,,,,4.5,,,,,,
ros2/message_filters,https://github.com/ros2/message_filters.git,gbiggs; ethangao,16,14,9,,gbiggs,,,,9,9,9,,,,,,,,,,,9,,,,,,,
ros2/system_tests,https://github.com/ros2/system_tests.git,adityapande-1995; sloretz,21,8,9,,methylDragon,,,,9,9,9,,,,,,,,,,,,,,,,9,,
ros-visualization/rqt_bag,https://github.com/ros-visualization/rqt_bag.git,mabelzhang; mjeronimo,18,13,9,mjeronimo,,,,,9,9,9,,,9,,,,,,,,,,,,,,,
ros/urdfdom,https://github.com/ros/urdfdom.git,scpeters; clalancette; sloretz,19,7,8,clalancette,,,,,8,8,8,,,,,8,,,,,,,,,,,,,
ros/pluginlib,https://github.com/ros/pluginlib.git,clalancette,18,5,7,clalancette,,,,,7,7,7,,,,,7,,,,,,,,,,,,,
ros-visualization/rqt_image_view,https://github.com/ros-visualization/rqt_image_view.git,mabelzhang,12,11,7,,wjwwood,,,,7,7,7,7,,,,,,,,,,,,,,,,,
ros2/design,https://github.com/ros2/design.git,,16,4,6,,wjwwood,clalancette,,,3,6,6,3,,,,3,,,,,,,,,,,,,
ros2/rcl_interfaces,https://github.com/ros2/rcl_interfaces.git,clalancette,12,8,6,,gbiggs,,,,6,6,6,,,,,,,,,,,6,,,,,,,
ros2/rcpputils,https://github.com/ros2/rcpputils.git,clalancette,16,5,6,,wjwwood,methylDragon,,,3,6,6,3,,,,,,,,,,,,,,,3,,
ros2/yaml_cpp_vendor,https://github.com/ros2/yaml_cpp_vendor.git,audrow,15,4,6,,cottsay,,,,6,6,6,,,,,,,,6,,,,,,,,,,
ros/class_loader,https://github.com/ros/class_loader.git,gbiggs; mjcarroll,16,4,6,,gbiggs,,,,6,6,6,,,,,,,,,,,6,,,,,,,
ros-visualization/qt_gui_core,https://github.com/ros-visualization/qt_gui_core.git,dirk-thomas,10,10,6,,quarkytale,,,,6,6,6,,,,,,,,,,,,,,,6,,,
ros2/orocos_kdl_vendor,https://github.com/ros2/orocos_kdl_vendor.git,jacobperron,16,1,5,,cottsay,,,,5,5,5,,,,,,,,5,,,,,,,,,,
ros2/rmw_implementation,https://github.com/ros2/rmw_implementation.git,audrow; mjcarroll,15,2,5,wjwwood,,,,,5,5,5,5,,,,,,,,,,,,,,,,,
ros-infrastructure/rosdoc2,https://github.com/ros-infrastructure/rosdoc2.git,clalancette; wjwwood; tfoote,10,6,5,,tfoote,audrow,,,2.5,5,5,,,,,,2.5,,,,,,,2.5,,,,,
ros/joint_state_publisher,https://github.com/ros/joint_state_publisher.git,clalancette; sloretz,11,6,5,clalancette,,,,,5,5,5,,,,,5,,,,,,,,,,,,,
ros/kdl_parser,https://github.com/ros/kdl_parser.git,clalancette; sloretz,13,4,5,clalancette,,,,,5,5,5,,,,,5,,,,,,,,,,,,,
ros/ros_tutorials,https://github.com/ros/ros_tutorials.git,audrow; mjeronimo,8,10,5,,ahcorde,,,,5,5,5,,,,,,,5,,,,,,,,,,,
ros-visualization/rqt_graph,https://github.com/ros-visualization/rqt_graph.git,mjeronimo; wjwwood,8,9,5,mjeronimo,,,,,5,5,5,,,5,,,,,,,,,,,,,,,
ros-visualization/rqt_reconfigure,https://github.com/ros-visualization/rqt_reconfigure.git,quarkytale,9,7,5,quarkytale,,,,,5,5,5,,,,,,,,,,,,,,,5,,,
osrf/osrf_pycommon,https://github.com/osrf/osrf_pycommon.git,,9,3,4,,wjwwood,,,,4,4,4,4,,,,,,,,,,,,,,,,,
ros2/buildfarm_perf_tests,https://github.com/ros2/buildfarm_perf_tests.git,cottsay,11,1,4,,cottsay,,,,4,4,4,,,,,,,,4,,,,,,,,,,
ros2/libyaml_vendor,https://github.com/ros2/libyaml_vendor.git,audrow,8,4,4,,cottsay,,,,4,4,4,,,,,,,,4,,,,,,,,,,
ros2/rcl_logging,https://github.com/ros2/rcl_logging.git,clalancette,11,3,4,clalancette,wjwwood,,,,2,4,4,2,,,,2,,,,,,,,,,,,,
ros2/realtime_support,https://github.com/ros2/realtime_support.git,clalancette,11,1,4,,methylDragon,,,,4,4,4,,,,,,,,,,,,,,,,4,,
ros2/rosidl_typesupport,https://github.com/ros2/rosidl_typesupport.git,clalancette; sloretz,12,3,4,sloretz,quarkytale,,,,2,4,4,,,,2,,,,,,,,,,,2,,,
ros2/rosidl_typesupport_fastrtps,https://github.com/ros2/rosidl_typesupport_fastrtps.git,sloretz,11,1,4,sloretz,,,,,4,4,4,,,,4,,,,,,,,,,,,,,
ros-infrastructure/rosindex,https://github.com/ros-infrastructure/rosindex.git,tfoote,7,7,4,,mjeronimo,,,,4,4,4,,,4,,,,,,,,,,,,,,,
ros/angles,https://github.com/ros/angles.git,tfoote,10,3,4,,gbiggs,,,,4,4,4,,,,,,,,,,,4,,,,,,,
ros/bond_core,https://github.com/ros/bond_core.git,mjcarroll,7,6,4,,gbiggs,,,,4,4,4,,,,,,,,,,,4,,,,,,,
ros/geometry_tutorials,https://github.com/ros/geometry_tutorials.git,ahcorde; audrow,4,8,4,,ahcorde,,,,4,4,4,,,,,,,4,,,,,,,,,,,
ros/resource_retriever,https://github.com/ros/resource_retriever.git,clalancette; sloretz,13,2,4,,gbiggs,,,,4,4,4,,,,,,,,,,,4,,,,,,,
ros-visualization/interactive_markers,https://github.com/ros-visualization/interactive_markers.git,quarkytale,9,5,4,quarkytale,,,,,4,4,4,,,,,,,,,,,,,,,4,,,
ros-visualization/python_qt_binding,https://github.com/ros-visualization/python_qt_binding.git,sloretz,10,3,4,,sloretz,,,,4,4,4,,,,4,,,,,,,,,,,,,,
ros-visualization/rqt_plot,https://github.com/ros-visualization/rqt_plot.git,mabelzhang; cottsay; dorianscholz; austinhendrix,6,6,4,,methylDragon,,,,4,4,4,,,,,,,,,,,,,,,,4,,
ament/ament_index,https://github.com/ament/ament_index.git,audrow,5,4,3,,quarkytale,,,,3,3,3,,,,,,,,,,,,,,,3,,,
ros2/performance_test,https://github.com/ros2/performance_test.git,,4,5,3,,cottsay,,,,3,3,3,,,,,,,,3,,,,,,,,,,
ros2/rmw_dds_common,https://github.com/ros2/rmw_dds_common.git,ivanpauno; methylDragon,9,0,3,ivanpauno,,,,,3,3,3,,3,,,,,,,,,,,,,,,,
ros-perception/depthimage_to_laserscan,https://github.com/ros-perception/depthimage_to_laserscan.git,clalancette,3,7,3,clalancette,,,,,3,3,3,,,,,3,,,,,,,,,,,,,
ros-visualization/rqt_topic,https://github.com/ros-visualization/rqt_topic.git,audrow,7,3,3,,methylDragon,,,,3,3,3,,,,,,,,,,,,,,,,3,,
ament/ament_package,https://github.com/ament/ament_package.git,audrow,6,0,2,,quarkytale,,,,2,2,2,,,,,,,,,,,,,,,2,,,
ament/uncrustify_vendor,https://github.com/ament/uncrustify_vendor.git,audrow,6,2,2,,cottsay,,,,2,2,2,,,,,,,,2,,,,,,,,,,
osrf/osrf_testing_tools_cpp,https://github.com/osrf/osrf_testing_tools_cpp.git,,6,1,2,,gbiggs,,,,2,2,2,,,,,,,,,,,2,,,,,,,
ros2/orocos_kinematics_dynamics,https://github.com/ros2/orocos_kinematics_dynamics.git,ivanpauno,7,0,2,,methylDragon,,,,2,2,2,,,,,,,,,,,,,,,,2,,
ros2/pybind11_vendor,https://github.com/ros2/pybind11_vendor.git,methylDragon,7,1,2,,cottsay,,,,2,2,2,,,,,,,,2,,,,,,,,,,
ros2/python_cmake_module,https://github.com/ros2/python_cmake_module.git,sloretz,4,2,2,sloretz,,,,,2,2,2,,,,2,,,,,,,,,,,,,,
ros2/rosidl_runtime_py,https://github.com/ros2/rosidl_runtime_py.git,sloretz,6,1,2,sloretz,,,,,2,2,2,,,,2,,,,,,,,,,,,,,
ros2/test_interface_files,https://github.com/ros2/test_interface_files.git,audrow,6,0,2,,quarkytale,,,,2,2,2,,,,,,,,,,,,,,,2,,,
ros2/urdf,https://github.com/ros2/urdf.git,clalancette; sloretz,6,2,2,clalancette,ahcorde,,,,1,2,2,,,,,1,,1,,,,,,,,,,,
ros/filters,https://github.com/ros/filters.git,tfoote; jonbinney,5,1,2,,gbiggs,,,,2,2,2,,,,,,,,,,,2,,,,,,,
ros/ros_environment,https://github.com/ros/ros_environment.git,nuclearsandwich,5,1,2,,nuclearsandwich,,,,2,2,2,,,,,,,,,2,,,,,,,,,
ros/urdfdom_headers,https://github.com/ros/urdfdom_headers.git,scpeters; clalancette; sloretz,5,1,2,clalancette,,,,,2,2,2,,,,,2,,,,,,,,,,,,,
ament/googletest,https://github.com/ament/googletest.git,audrow,2,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ament/google_benchmark_vendor,https://github.com/ament/google_benchmark_vendor.git,audrow,4,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
osrf/multiarch-docker-image-generation,https://github.com/osrf/multiarch-docker-image-generation.git,tfoote,1,1,1,,audrow,,,,1,1,1,,,,,,,,,,,,,1,,,,,
ignition/ignition_cmake2_vendor,https://github.com/ignition/ignition_cmake2_vendor.git,,0,0,1,,cottsay,ahcorde,,,1,1,1,,,,,,,1,1,,,,,,,,,,
ignition/ignition_math6_vendor,https://github.com/ignition/ignition_math6_vendor.git,,0,0,1,,cottsay,ahcorde,,,1,1,1,,,,,,,1,1,,,,,,,,,,
ros-planning/navigation_msgs,https://github.com/ros-planning/navigation_msgs.git,,0,0,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/Mimick,https://github.com/ros2/Mimick.git,,1,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/ament_cmake_ros,https://github.com/ros2/ament_cmake_ros.git,methylDragon,4,1,1,methylDragon,,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/choco-packages,https://github.com/ros2/choco-packages.git,,1,2,1,,nuclearsandwich,,,,1,1,1,,,,,,,,,1,,,,,,,,,
ros2/console_bridge_vendor,https://github.com/ros2/console_bridge_vendor.git,ahcorde,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/eigen3_cmake_module,https://github.com/ros2/eigen3_cmake_module.git,methylDragon,1,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/example_interfaces,https://github.com/ros2/example_interfaces.git,mabelzhang,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/mimick_vendor,https://github.com/ros2/mimick_vendor.git,gbiggs,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/performance_test_fixture,https://github.com/ros2/performance_test_fixture.git,ahcorde,4,1,1,,ahcorde,,,,1,1,1,,,,,,,1,,,,,,,,,,,
ros2/rmw_connext,https://github.com/ros2/rmw_connext.git,ahcorde; mjcarroll,1,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/ros2cli_common_extensions,https://github.com/ros2/ros2cli_common_extensions.git,methylDragon,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/ros_testing,https://github.com/ros2/ros_testing.git,quarkytale,1,0,1,quarkytale,,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/ros_workspace,https://github.com/ros2/ros_workspace.git,nuclearsandwich,1,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/rosidl_core,https://github.com/ros2/rosidl_core.git,jacobperron,1,0,1,,sloretz,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_dds,https://github.com/ros2/rosidl_dds.git,sloretz,2,0,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_defaults,https://github.com/ros2/rosidl_defaults.git,sloretz,4,1,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_typesupport_connext,https://github.com/ros2/rosidl_typesupport_connext.git,jacobperron; hidmic,1,1,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rpyutils,https://github.com/ros2/rpyutils.git,quarkytale,2,1,1,quarkytale,,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/spdlog_vendor,https://github.com/ros2/spdlog_vendor.git,quarkytale,5,0,1,quarkytale,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,1,,,
ros2/teleop_twist_joy,https://github.com/ros2/teleop_twist_joy.git,clalancette,3,0,1,clalancette,ahcorde,,,,1,1,1,,,,,1,,1,,,,,,,,,,,
ros2/teleop_twist_keyboard,https://github.com/ros2/teleop_twist_keyboard.git,clalancette,1,1,1,clalancette,ahcorde,,,,1,1,1,,,,,1,,1,,,,,,,,,,,
ros2/tinyxml2_vendor,https://github.com/ros2/tinyxml2_vendor.git,audrow,1,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/tinyxml_vendor,https://github.com/ros2/tinyxml_vendor.git,gbiggs,3,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/tlsf,https://github.com/ros2/tlsf.git,methylDragon,3,0,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/unique_identifier_msgs,https://github.com/ros2/unique_identifier_msgs.git,methylDragon,4,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/variants,https://github.com/ros2/variants.git,,3,1,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-infrastructure/rosdoc_lite,https://github.com/ros-infrastructure/rosdoc_lite.git,tfoote,1,1,1,,tfoote,,,,1,1,1,,,,,,1,,,,,,,,,,,,
ros-perception/laser_geometry,https://github.com/ros-perception/laser_geometry.git,,4,1,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros/console_bridge,https://github.com/ros/console_bridge.git,scpeters,4,1,1,,scpeters,,,,1,1,1,,,,,,,,,,,,,,1,,,,
ros/eigen_stl_containers,https://github.com/ros/eigen_stl_containers.git,clalancette; sloretz,0,0,1,clalancette,,,,,1,1,1,,,,,1,,,,,,,,,,,,,
ros/urdf_parser_py,https://github.com/ros/urdf_parser_py.git,clalancette; sloretz,3,2,1,clalancette,,,,,1,1,1,,,,,1,,,,,,,,,,,,,
ros-visualization/rqt_action,https://github.com/ros-visualization/rqt_action.git,gbiggs; mabelzhang; mikaelarguedas; ablasdel,1,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/rqt_common_plugins,https://github.com/ros-visualization/rqt_common_plugins.git,ivanpauno,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/rqt_console,https://github.com/ros-visualization/rqt_console.git,dirk-thomas; ablasdel; arnehitzmann,0,1,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros-visualization/rqt_msg,https://github.com/ros-visualization/rqt_msg.git,audrow,2,0,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros-visualization/rqt_publisher,https://github.com/ros-visualization/rqt_publisher.git,dirk-thomas; dorianscholz,3,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros-visualization/rqt_py_console,https://github.com/ros-visualization/rqt_py_console.git,dorianscholz; mlautman,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros-visualization/rqt_service_caller,https://github.com/ros-visualization/rqt_service_caller.git,dirk-thomas; mlautman; dorianscholz,2,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros-visualization/rqt_shell,https://github.com/ros-visualization/rqt_shell.git,dorianscholz; kunaltyagi,2,0,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros-visualization/rqt_srv,https://github.com/ros-visualization/rqt_srv.git,dirk-thomas; ablasdel; mlautman,1,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/tango_icons_vendor,https://github.com/ros-visualization/tango_icons_vendor.git,audrow,1,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,,,,,1160,,,,,,77.33333333,1160,1160,92,82.66666667,79,83,145,19.5,96.16666667,68.33333333,12.33333333,33.33333333,83.66666667,81.16666667,99.5,1,74.66666667,86.66666667,27,0